year,Country,type,CV_idea,Turnout_idea,cv_change,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lead1,lead2,lead3,lead4,lead5,lead6,lead7,lead8,lead9,lead10,Population,interval,cid
2004,Afghanistan,Presidential,0.0,83.66,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,25697635,[1995-2004],0
2009,Afghanistan,Presidential,0.0,38.8,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,28483631,[2005-2014],0
2014,Afghanistan,Presidential,0.0,36.285,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,31822848,[2005-2014],0
2019,Afghanistan,Presidential,0.0,19.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,35780458,[2015-2024],0
1995,Algeria,Presidential,0.0,75.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,25533000,[1995-2004],2
1999,Algeria,Presidential,0.0,60.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,30932382,[1995-2004],2
2004,Algeria,Presidential,0.0,58.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,32818500,[1995-2004],2
2009,Algeria,Presidential,0.0,74.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,34178188,[2005-2014],2
2014,Algeria,Presidential,0.0,49.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,38813722,[2005-2014],2
2019,Algeria,Presidential,0.0,39.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,42325923,[2015-2024],2
1992,Angola,Presidential,0.0,90.37,0.0,0.0,,,,,,,,,,,,,,,,,,,,,10609000,[1985-1994],4
1996,Armenia,Presidential,0.0,60.32,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,3640000,[1995-2004],8
1998,Armenia,Presidential,0.0,65.81,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,3658200,[1995-2004],8
2003,Armenia,Presidential,0.0,65.82000000000001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,3339099,[1995-2004],8
2008,Armenia,Presidential,0.0,69.81,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,3229900,[2005-2014],8
2013,Armenia,Presidential,0.0,60.18,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,3064267,[2005-2014],8
1951,Austria,Presidential,1.0,96.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,6939000,[1945-1954],10
1957,Austria,Presidential,1.0,97.16,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,6997000,[1955-1964],10
1963,Austria,Presidential,1.0,95.58,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,7172000,[1955-1964],10
1965,Austria,Presidential,1.0,95.99,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,7250000,[1965-1974],10
1971,Austria,Presidential,1.0,95.29,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7460000,[1965-1974],10
1974,Austria,Presidential,1.0,94.06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7530000,[1965-1974],10
1980,Austria,Presidential,1.0,91.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7549000,[1975-1984],10
1986,Austria,Presidential,0.0,88.385,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7565000,[1985-1994],10
1992,Austria,Presidential,0.0,82.63499999999999,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7884000,[1985-1994],10
1998,Austria,Presidential,0.0,74.4,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8087215,[1995-2004],10
2004,Austria,Presidential,0.0,71.6,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8188207,[1995-2004],10
2010,Austria,Presidential,0.0,53.57,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8447901,[2005-2014],10
2016,Austria,Presidential,0.0,71.78666666666668,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8711770,[2015-2024],10
2022,Austria,Presidential,0.0,65.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8913088,[2015-2024],10
1993,Azerbaijan,Presidential,0.0,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,7392000,[1985-1994],11
1998,Azerbaijan,Presidential,0.0,78.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,7555645,[1995-2004],11
2003,Azerbaijan,Presidential,0.0,71.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,7830764,[1995-2004],11
2008,Azerbaijan,Presidential,0.0,75.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,8177717,[2005-2014],11
2013,Azerbaijan,Presidential,0.0,71.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,9590159,[2005-2014],11
2018,Azerbaijan,Presidential,0.0,74.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,10046516,[2015-2024],11
1981,Bangladesh,Presidential,0.0,55.65,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,90457000,[1975-1984],14
1986,Bangladesh,Presidential,0.0,54.09,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,101673000,[1985-1994],14
1994,Belarus,Presidential,0.0,74.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,10355000,[1985-1994],16
2001,Belarus,Presidential,0.0,83.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,10112278,[1995-2004],16
2006,Belarus,Presidential,0.0,92.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,10300483,[2005-2014],16
2010,Belarus,Presidential,0.0,90.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,9612632,[2005-2014],16
2015,Belarus,Presidential,0.0,87.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,9589689,[2015-2024],16
2020,Belarus,Presidential,0.0,84.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,9477918,[2015-2024],16
